あば	a̠ b a̠
ししざ	ɕ i̥ ɕ i z a̠
しんか	ɕ ĩ ŋ k a̠
しんい	ɕ ĩ ɰ̃ i
しんき	ɕ ĩ ŋʲ kʲ i
しんぎ	ɕ ĩ ŋʲ ɡʲ i
しんに	ɕ ĩ ɲ̟ ɲ̟ i
ごあく	ɡ o̞ a̠ k ɯ̟ᵝ
ごばん	ɡ o̞ b ã̠ ɴ
ろばん	ɾ o̞ b ã̠ ɴ
ろだい	ɾ o̞ d a̠ i
ごえい	ɡ o̞ e̞ː
ごはん	ɡ o̞ h ã̠ ɴ
しょほ	ɕ o̞ h o̞
ごほう	ɡ o̞ h o̞ː
ごよう	ɡ o̞ j o̞ː
ろかい	ɾ o̞ k a̠ i
ごかん	ɡ o̞ k ã̠ ɴ
ごこん	ɡ o̞ k õ̞ ɴ
しょく	ɕ o̞ k ɯ̟ᵝ
ごくひ	ɡ o̞ k ɯ̟ᵝ ç i
ごくい	ɡ o̞ k ɯ̟ᵝ i
ろくろ	ɾ o̞ k ɯ̟ᵝ ɾ o̞
ごおん	ɡ o̞ õ̞ ɴ
ごさい	ɡ o̞ s a̠ i
ごさん	ɡ o̞ s ã̠ ɴ
ろせい	ɾ o̞ s e̞ː
ごそう	ɡ o̞ s o̞ː
しょた	ɕ o̞ t a̠
ろてい	ɾ o̞ t e̞ː
ごとう	ɡ o̞ t o̞ː
ごちく	ɡ o̞ t͡ɕ i k ɯ̟ᵝ
ごぞく	ɡ o̞ z o̞ k ɯ̟ᵝ
ごがつ	ɡ o̞ ɡ a̠ t͡s ɨᵝ
ごげん	ɡ o̞ ɡ ẽ̞ ɴ
しょし	ɕ o̞ ɕ i
ごしん	ɡ o̞ ɕ ĩ ɴ
ろしん	ɾ o̞ ɕ ĩ ɴ
しょご	ɕ o̞ ɡ o̞
ごにち	ɡ o̞ ɲ̟ i t͡ɕ i
ごりん	ɡ o̞ ɾʲ ĩ ɴ
ごうん	ɡ o̞ ɯ̟̃ᵝ ɴ
ろうあ	ɾ o̞ː a̠
ごうい	ɡ o̞ː i
ごうか	ɡ o̞ː k a̠
ろうか	ɾ o̞ː k a̠
ろうく	ɾ o̞ː k ɯ̟ᵝ
ろんぱ	ɾ õ̞ m p a̠
ろうむ	ɾ o̞ː m ɯ̟ᵝ
ごんた	ɡ õ̞ n t a̠
ごうじ	ɡ o̞ː ʑ i
ろうし	ɾ o̞ː ɕ i
ろうご	ɾ o̞ː ɡ o̞
ごうぎ	ɡ o̞ː ɡʲ i
ごうう	ɡ o̞ː ɯ̟ᵝ
しゅび	ɕ ɨᵝ bʲ i
しゅひ	ɕ ɨᵝ ç i
しゅい	ɕ ɨᵝ i
しゅゆ	ɕ ɨᵝ j ɯ̟ᵝ
しゅみ	ɕ ɨᵝ mʲ i
しゅと	ɕ ɨᵝ t o̞
しゅつ	ɕ ɨᵝ t͡s ɨᵝ
しゅし	ɕ ɨᵝ ɕ i
しゅご	ɕ ɨᵝ ɡ o̞
しゅぎ	ɕ ɨᵝ ɡʲ i
しゅう	ɕ ɨᵝː
ふぶき	ɸ ɯ̟ᵝ b ɯ̟ᵝ kʲ i
ふどう	ɸ ɯ̟ᵝ d o̞ː
ふはつ	ɸ ɯ̟ᵝ h a̠ t͡s ɨᵝ
ぐほう	ɡ ɯ̟ᵝ h o̞ː
ふほう	ɸ ɯ̟ᵝ h o̞ː
ふよく	ɸ ɯ̟ᵝ j o̞ k ɯ̟ᵝ
ふゆう	ɸ ɯ̟ᵝ j ɯ̟ᵝː
ふかく	ɸ ɯ̟ᵝ k a̠ k ɯ̟ᵝ
ふかし	ɸ ɯ̟ᵝ k a̠ ɕ i
ふけつ	ɸ ɯ̟ᵝ k e̞ t͡s ɨᵝ
ふけい	ɸ ɯ̟ᵝ k e̞ː
ぐこう	ɡ ɯ̟ᵝ k o̞ː
しゅき	ɕ ɨ̥ᵝ kʲ i
てばた	ɕ ɨ̥ᵝ kʲ i
ふきや	ɸ ɯ̟ᵝ kʲ i j a̠
ふきつ	ɸ ɯ̟ᵝ kʲ i t͡s ɨᵝ
ふきょ	ɸ ɯ̟ᵝ kʲ o̞
ふめつ	ɸ ɯ̟ᵝ m e̞ t͡s ɨᵝ
ふめい	ɸ ɯ̟ᵝ m e̞ː
ふもう	ɸ ɯ̟ᵝ m o̞ː
ふもん	ɸ ɯ̟ᵝ m õ̞ ɴ
ふみね	ɸ ɯ̟ᵝ mʲ i n e̞
ふみて	ɸ ɯ̟ᵝ mʲ i t e̞
ふなか	ɸ ɯ̟ᵝ n a̠ k a̠
ふのう	ɸ ɯ̟ᵝ n o̞ː
ふおん	ɸ ɯ̟ᵝ õ̞ ɴ
ふさく	ɸ ɯ̟ᵝ s a̠ k ɯ̟ᵝ
ふせつ	ɸ ɯ̟ᵝ s e̞ t͡s ɨᵝ
ふそん	ɸ ɯ̟ᵝ s õ̞ ɴ
ふすべ	ɸ ɯ̟ᵝ s ɨᵝ b e̞
くゆる	ɸ ɯ̟ᵝ s ɨᵝ b o̞ ɾ ɯ̟ᵝ
ぐすく	ɡ ɯ̟ᵝ s ɨᵝ k ɯ̟ᵝ
ぐたい	ɡ ɯ̟ᵝ t a̠ i
ふたり	ɸ ɯ̟ᵝ t a̠ ɾʲ i
ふたん	ɸ ɯ̟ᵝ t ã̠ ɴ
ふとう	ɸ ɯ̟ᵝ t o̞ː
ふとん	ɸ ɯ̟ᵝ t õ̞ ɴ
るつぼ	ɾ ɯ̟ᵝ t͡s ɨᵝ b o̞
ふつう	ɸ ɯ̟ᵝ t͡s ɨᵝː
ぐちる	ɡ ɯ̟ᵝ t͡ɕ i ɾ ɯ̟ᵝ
ふぜい	ɸ ɯ̟ᵝ z e̞ː
ぐしゃ	ɡ ɯ̟ᵝ ɕ a̠
ふらの	ɸ ɯ̟ᵝ ɾ a̠ n o̞
ふらち	ɸ ɯ̟ᵝ ɾ a̠ t͡ɕ i
ぐれん	ɡ ɯ̟ᵝ ɾ ẽ̞ ɴ
ふじみ	ɸ ɯ̟ᵝ ʑ i mʲ i
ふしん	ɸ ɯ̟ᵝ ɕ ĩ ɴ
ふじょ	ɸ ɯ̟ᵝ ʑ o̞
ふろう	ɸ ɯ̟ᵝ ɾ o̞ː
ふふつ	ɸ ɯ̟ᵝ ɸ ɯ̟ᵝ t͡s ɨᵝ
ふりん	ɸ ɯ̟ᵝ ɾʲ ĩ ɴ
ふうど	ɸ ɯ̟ᵝː d o̞
ふうき	ɸ ɯ̟ᵝː kʲ i
ぐんぴ	ɡ ɯ̟̃ᵝ m pʲ i
ふんで	ɸ ɯ̟̃ᵝ n d e̞
ふんど	ɸ ɯ̟̃ᵝ n d o̞
ふんぬ	ɸ ɯ̟̃ᵝ nː ɯ̟ᵝ
ふそく	ɸ ɯ̟̊ᵝ s o̞ k ɯ̟ᵝ
ふすう	ɸ ɯ̟̊ᵝ s ɨᵝː
ふたえ	ɸ ɯ̟̊ᵝ t a̠ e̞
ふとし	ɸ ɯ̟̊ᵝ t o̞ ɕ i
ふつご	ɸ ɯ̟̊ᵝ t͡s ɨᵝ ɡ o̞
ふぞく	ɸ ɯ̟ᵝː z o̞ k ɯ̟ᵝ
ふしぎ	ɸ ɯ̟̊ᵝ ɕ i ɡʲ i
ふんか	ɸ ɯ̟̃ᵝ ŋ k a̠
ふうふ	ɸ ɯ̟ᵝː ɸ ɯ̟ᵝ
ぐんじ	ɡ ɯ̟̃ᵝ ɲ̟ d͡ʑ i
ふうう	ɸ ɯ̟ᵝː ɯ̟ᵝ
わぶん	ɰᵝ a̠ b ɯ̟̃ᵝ ɴ
わだち	ɰᵝ a̠ d a̠ t͡ɕ i
わやく	ɰᵝ a̠ j a̠ k ɯ̟ᵝ
わかば	ɰᵝ a̠ k a̠ b a̠
わかな	ɰᵝ a̠ k a̠ n a̠
わかて	ɰᵝ a̠ k a̠ t e̞
わかれ	ɰᵝ a̠ k a̠ ɾ e̞
わこく	ɰᵝ a̠ k o̞ k ɯ̟ᵝ
りゃく	ɾʲ a̠ k ɯ̟ᵝ
わくん	ɰᵝ a̠ k ɯ̟̃ᵝ ɴ
わきが	ɰᵝ a̠ kʲ i ɡ a̠
わきげ	ɰᵝ a̠ kʲ i ɡ e̞
わめく	ɰᵝ a̠ m e̞ k ɯ̟ᵝ
わなわ	ɰᵝ a̠ n a̠ ɰᵝ a̠
わさび	ɰᵝ a̠ s a̠ bʲ i
わさん	ɰᵝ a̠ s ã̠ ɴ
わそう	ɰᵝ a̠ s o̞ː
わたし	ɰᵝ a̠ t a̠ ɕ i
わらべ	ɰᵝ a̠ ɾ a̠ b e̞
わがし	ɰᵝ a̠ ɡ a̠ ɕ i
わらじ	ɰᵝ a̠ ɾ a̠ ʑ i
わらわ	ɰᵝ a̠ ɾ a̠ ɰᵝ a̠
わらず	ɰᵝ a̠ ɾ ã̠ n d͡z ɨᵝ
わしき	ɰᵝ a̠ ɕ i kʲ i
わしつ	ɰᵝ a̠ ɕ i t͡s ɨᵝ
わしざ	ɰᵝ a̠ ɕ i z a̠
わじん	ɰᵝ a̠ ʑ ĩ ɴ
わるぎ	ɰᵝ a̠ ɾ ɯ̟ᵝ ɡʲ i
わふく	ɰᵝ a̠ ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
わんさ	ɰᵝ ã̠ ɰ̃ s a̠
ぎぶつ	ɡʲ i b ɯ̟ᵝ t͡s ɨᵝ
にだい	ɲ̟ i d a̠ i
ぎほう	ɡʲ i h o̞ː
ぎいん	ɡʲ i ĩ ɴ
ぎやく	ɡʲ i j a̠ k ɯ̟ᵝ
にやく	ɲ̟ i j a̠ k ɯ̟ᵝ
にやす	ɲ̟ i j a̠ s ɨᵝ
りよう	ɾʲ i j o̞ː
りゆう	ɾʲ i j ɯ̟ᵝː
ぎかい	ɡʲ i k a̠ i
にかわ	ɲ̟ i k a̠ ɰᵝ a̠
りかん	ɾʲ i k ã̠ ɴ
ぎけつ	ɡʲ i k e̞ t͡s ɨᵝ
りけい	ɾʲ i k e̞ː
りけん	ɾʲ i k ẽ̞ ɴ
にこく	ɲ̟ i k o̞ k ɯ̟ᵝ
にこげ	ɲ̟ i k o̞ ɡ e̞
りこう	ɾʲ i k o̞ː
りこん	ɾʲ i k õ̞ ɴ
りくい	ɾʲ i k ɯ̟ᵝ i
にくや	ɲ̟ i k ɯ̟ᵝ j a̠
りくろ	ɾʲ i k ɯ̟ᵝ ɾ o̞
りくつ	ɾʲ i k ɯ̟̊ᵝ t͡s ɨᵝ
りくし	ɾʲ i k ɯ̟̊ᵝ ɕ i
りきむ	ɾʲ i kʲ i m ɯ̟ᵝ
にっか	ɲ̟ i k̚ k a̠
りっか	ɾʲ i k̚ k a̠
にっき	ɲ̟ i k̚ʲ kʲ i
ぎまい	ɡʲ i m a̠ i
ぎめい	ɡʲ i m e̞ː
ぎねん	ɡʲ i n ẽ̞ ɴ
りねん	ɾʲ i n ẽ̞ ɴ
におい	ɲ̟ i o̞ i
りっぱ	ɾʲ i p̚ p a̠
りさん	ɾʲ i s ã̠ ɴ
にせき	ɲ̟ i s e̞ kʲ i
にせい	ɲ̟ i s e̞ː
ぎそく	ɡʲ i s o̞ k ɯ̟ᵝ
ぎそう	ɡʲ i s o̞ː
にそう	ɲ̟ i s o̞ː
りそう	ɾʲ i s o̞ː
ぎたい	ɡʲ i t a̠ i
ぎてい	ɡʲ i t e̞ː
りつい	ɾʲ i t͡s ɨᵝ i
にちじ	ɲ̟ i t͡ɕ i ʑ i
りちぎ	ɾʲ i t͡ɕ i ɡʲ i
ひにち	ɲ̟ i t͡ɕ i ɲ̟ i t͡ɕ i
りづめ	ɾʲ i z ɨᵝ m e̞
りがく	ɾʲ i ɡ a̠ k ɯ̟ᵝ
にがて	ɲ̟ i ɡ a̠ t e̞
にがつ	ɲ̟ i ɡ a̠ t͡s ɨᵝ
りれき	ɾʲ i ɾ e̞ kʲ i
ぎれい	ɡʲ i ɾ e̞ː
にしび	ɲ̟ i ɕ i bʲ i
ぎしん	ɡʲ i ɕ ĩ ɴ
にしん	ɲ̟ i ɕ ĩ ɴ
にごす	ɲ̟ i ɡ o̞ s ɨᵝ
にごり	ɲ̟ i ɡ o̞ ɾʲ i
ぎろん	ɡʲ i ɾ õ̞ ɴ
りっし	ɾʲ i ɕː i
にぎり	ɲ̟ i ɡʲ i ɾʲ i
にりん	ɲ̟ i ɾʲ ĩ ɴ
にんぷ	ɲ̟ ĩ m p ɯ̟ᵝ
りんぴ	ɾʲ ĩ m pʲ i
にんむ	ɲ̟ ĩ mː ɯ̟ᵝ
ぎんみ	ɡʲ ĩ mʲː i
りんね	ɾʲ ĩ nː e̞
りんご	ɾʲ ĩ ŋ ɡ o̞
りんじ	ɾʲ ĩ ɲ̟ d͡ʑ i
にんい	ɲ̟ ĩ ɰ̃ i
にんき	ɲ̟ ĩ ŋʲ kʲ i
にんち	ɲ̟ ĩ ɲ̟ t͡ɕ i
りんち	ɾʲ ĩ ɲ̟ t͡ɕ i
ぎょゆ	ɡʲ o̞ j ɯ̟ᵝ
にょぜ	ɲ̟ o̞ z e̞
にょご	ɲ̟ o̞ ɡ o̞
ぎょう	ɡʲ o̞ː
にょう	ɲ̟ o̞ː
ぎゅう	ɡʲ ɨᵝː
りゅう	ɾʲ ɨᵝː
うばい	ɯ̟ᵝ b a̠ i
うだく	ɯ̟ᵝ d a̠ k ɯ̟ᵝ
うでわ	ɯ̟ᵝ d e̞ ɰᵝ a̠
うえき	ɯ̟ᵝ e̞ kʲ i
うよく	ɯ̟ᵝ j o̞ k ɯ̟ᵝ
うゆう	ɯ̟ᵝ j ɯ̟ᵝː
うける	ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
うきす	ɯ̟ᵝ kʲ i s ɨᵝ
うまい	ɯ̟ᵝ m a̠ i
うめく	ɯ̟ᵝ m e̞ k ɯ̟ᵝ
うなじ	ɯ̟ᵝ n a̠ ʑ i
うなぎ	ɯ̟ᵝ n a̠ ɡʲ i
うねり	ɯ̟ᵝ n e̞ ɾʲ i
うおざ	ɯ̟ᵝ o̞ z a̠
うっぷ	ɯ̟ᵝ p̚ p ɯ̟ᵝ
うさぎ	ɯ̟ᵝ s a̠ ɡʲ i
うせつ	ɯ̟ᵝ s e̞ t͡s ɨᵝ
うせる	ɯ̟ᵝ s e̞ ɾ ɯ̟ᵝ
うすめ	ɯ̟ᵝ s ɨᵝ m e̞
うつと	ɯ̟ᵝ t͡s ɨᵝ t o̞
うつろ	ɯ̟ᵝ t͡s ɨᵝ ɾ o̞
うつわ	ɯ̟ᵝ t͡s ɨᵝ ɰᵝ a̠
うちわ	ɯ̟ᵝ t͡ɕ i ɰᵝ a̠
うずく	ɯ̟ᵝ z ɨᵝ k ɯ̟ᵝ
うづき	ɯ̟ᵝ z ɨᵝ kʲ i
うずら	ɯ̟ᵝ z ɨᵝ ɾ a̠
うらみ	ɯ̟ᵝ ɾ a̠ mʲ i
うがん	ɯ̟ᵝ ɡ ã̠ ɴ
うげつ	ɯ̟ᵝ ɡ e̞ t͡s ɨᵝ
うしお	ɯ̟ᵝ ɕ i o̞
うつお	ɯ̟ᵝ ɾ o̞
うろこ	ɯ̟ᵝ ɾ o̞ k o̞
うろん	ɯ̟ᵝ ɾ õ̞ ɴ
うぐい	ɯ̟ᵝ ɡ ɯ̟ᵝ i
うぐら	ɯ̟ᵝ ɡ ɯ̟ᵝ ɾ a̠
うるし	ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ i
うわば	ɯ̟ᵝ ɰᵝ a̠ b a̠
うわべ	ɯ̟ᵝ ɰᵝ a̠ b e̞
うわき	ɯ̟ᵝ ɰᵝ a̠ kʲ i
うわさ	ɯ̟ᵝ ɰᵝ a̠ s a̠
かみて	ɯ̟ᵝ ɰᵝ a̠ t e̞
うんら	ɯ̟̃ᵝ n ɾ a̠
うんい	ɯ̟̃ᵝ ɰ̃ i
あらうみ	a r a u m i
あばずれ	a̠ b a̠ z ɨᵝ ɾ e̞
あばれる	a̠ b a̠ ɾ e̞ ɾ ɯ̟ᵝ
あだばな	a̠ d a̠ b a̠ n a̠
あへがお	a̠ h e̞ ɡ a̠ o̞
あいえき	a̠ i e̞ kʲ i
あいよめ	a̠ i j o̞ m e̞
あいかた	a̠ i k a̠ t a̠
あいかぎ	a̠ i k a̠ ɡʲ i
あいこく	a̠ i k o̞ k ɯ̟ᵝ
あいこう	a̠ i k o̞ː
あいまい	a̠ i m a̠ i
あいさい	a̠ i s a̠ i
あいさつ	a̠ i s a̠ t͡s ɨᵝ
あいたい	a̠ i t a̠ i
あいぞめ	a̠ i z o̞ m e̞
あいぞう	a̠ i z o̞ː
あいしゃ	a̠ i ɕ a̠
あいがめ	a̠ i ɡ a̠ m e̞
あいがみ	a̠ i ɡ a̠ mʲ i
あいがさ	a̠ i ɡ a̠ s a̠
あいがん	a̠ i ɡ ã̠ ɴ
あいじん	a̠ i ʑ ĩ ɴ
あいにく	a̠ i ɲ̟ i k ɯ̟ᵝ
あいいん	a̠ ĩː ɴ
あやまつ	a̠ j a̠ m a̠ t͡s ɨᵝ
あやまち	a̠ j a̠ m a̠ t͡ɕ i
あやとり	a̠ j a̠ t o̞ ɾʲ i
あゆみこ	a̠ j ɯ̟ᵝ mʲ i k o̞
あかべこ	a̠ k a̠ b e̞ k o̞
あかぼし	a̠ k a̠ b o̞ ɕ i
あかはな	a̠ k a̠ h a̠ n a̠
あかはた	a̠ k a̠ h a̠ t a̠
あかはら	a̠ k a̠ h a̠ ɾ a̠
あかまつ	a̠ k a̠ m a̠ t͡s ɨᵝ
あかなす	a̠ k a̠ n a̠ s ɨᵝ
あかせん	a̠ k a̠ s ẽ̞ ɴ
あかてん	a̠ k a̠ t ẽ̞ ɴ
あかしか	a̠ k a̠ ɕ i̥ k a̠
あけがた	a̠ k e̞ ɡ a̠ t a̠
あけぐれ	a̠ k e̞ ɡ ɯ̟ᵝ ɾ e̞
あこがれ	a̠ k o̞ ɡ a̠ ɾ e̞
あくやく	a̠ k ɯ̟ᵝ j a̠ k ɯ̟ᵝ
あくせく	a̠ k ɯ̟ᵝ s e̞ k ɯ̟ᵝ
あくたい	a̠ k ɯ̟ᵝ t a̠ i
あきかぜ	a̠ kʲ i k a̠ z e̞
あきない	a̠ kʲ i n a̠ i
あきなう	a̠ kʲ i n a̠ ɯ̟ᵝ
あきらか	a̠ kʲ i ɾ a̠ k a̠
あきふく	a̠ kʲ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
あっかん	a̠ k̚ k ã̠ ɴ
あまだれ	a̠ m a̠ d a̠ ɾ e̞
あまでら	a̠ m a̠ d e̞ ɾ a̠
あまねく	a̠ m a̠ n e̞ k ɯ̟ᵝ
あまおと	a̠ m a̠ o̞ t o̞
あまとう	a̠ m a̠ t o̞ː
あまぐも	a̠ m a̠ ɡ ɯ̟ᵝ m o̞
あまぐつ	a̠ m a̠ ɡ ɯ̟ᵝ t͡s ɨᵝ
あめんぼ	a̠ m ẽ̞ m b o̞
あみだな	a̠ mʲ i d a̠ n a̠
あみてん	a̠ mʲ i t ẽ̞ ɴ
あなぐま	a̠ n a̠ ɡ ɯ̟ᵝ m a̠
あねぶん	a̠ n e̞ b ɯ̟̃ᵝ ɴ
あおいろ	a̠ o̞ i ɾ o̞
あおもの	a̠ o̞ m o̞ n o̞
あおもり	a̠ o̞ m o̞ ɾʲ i
あおせん	a̠ o̞ s ẽ̞ ɴ
あおざめ	a̠ o̞ z a̠ m e̞
あおぎり	a̠ o̞ ɡʲ i ɾʲ i
あおうめ	a̠ o̞ ɯ̟ᵝ m e̞
あさなわ	a̠ s a̠ n a̠ ɰᵝ a̠
あさぬの	a̠ s a̠ n ɯ̟ᵝ n o̞
あそびば	a̠ s o̞ bʲ i b a̠
あすなろ	a̠ s ɨᵝ n a̠ ɾ o̞
あっせい	a̠ sː e̞ː
あたくし	a̠ t a̠ k ɯ̟̊ᵝ ɕ i
あたたか	a̠ t a̠ t a̠ k a̠
あてこむ	a̠ t e̞ k o̞ m ɯ̟ᵝ
あとあじ	a̠ t o̞ a̠ ʑ i
あとつぎ	a̠ t o̞ t͡s ɨᵝ ɡʲ i
あとがき	a̠ t o̞ ɡ a̠ kʲ i
あつまる	a̠ t͡s ɨᵝ m a̠ ɾ ɯ̟ᵝ
あつもの	a̠ t͡s ɨᵝ m o̞ n o̞
あつがみ	a̠ t͡s ɨᵝ ɡ a̠ mʲ i
あざける	a̠ z a̠ k e̞ ɾ ɯ̟ᵝ
あざとい	a̠ z a̠ t o̞ i
あずまや	a̠ z ɨᵝ m a̠ j a̠
あらぶる	a̠ ɾ a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
あらかた	a̠ ɾ a̠ k a̠ t a̠
あがめる	a̠ ɡ a̠ m e̞ ɾ ɯ̟ᵝ
あらさき	a̠ ɾ a̠ s a̠ kʲ i
あらすじ	a̠ ɾ a̠ s ɨᵝ ʑ i
あららぎ	a̠ ɾ a̠ ɾ a̠ ɡʲ i
あらがう	a̠ ɾ a̠ ɡ a̠ ɯ̟ᵝ
あれはだ	a̠ ɾ e̞ h a̠ d a̠
あれこれ	a̠ ɾ e̞ k o̞ ɾ e̞
あんえい	a̠ ɴ e̞ː
あしあと	a̠ ɕ i a̠ t o̞
あしかき	a̠ ɕ i k a̠ kʲ i
あじさい	a̠ ʑ i s a̠ i
あじさし	a̠ ʑ i s a̠ ɕ i
あしがき	a̠ ɕ i ɡ a̠ kʲ i
あしがる	a̠ ɕ i ɡ a̠ ɾ ɯ̟ᵝ
あごひげ	a̠ ɡ o̞ ç i ɡ e̞
あしゅら	a̠ ɕ ɨᵝ ɾ a̠
あしゅう	a̠ ɕ ɨᵝː
あるいは	a̠ ɾ ɯ̟ᵝ i ɰᵝ a̠
あわもり	a̠ ɰᵝ a̠ m o̞ ɾʲ i
あわれむ	a̠ ɰᵝ a̠ ɾ e̞ m ɯ̟ᵝ
あわれみ	a̠ ɰᵝ a̠ ɾ e̞ mʲ i
あわうみ	a̠ ɰᵝ a̠ ɯ̟ᵝ mʲ i
あにぶん	a̠ ɲ̟ i b ɯ̟̃ᵝ ɴ
ありくい	a̠ ɾʲ i k ɯ̟ᵝ i
ありのこ	a̠ ɾʲ i n o̞ k o̞
あぎとう	a̠ ɡʲ i t o̞ː
ありがと	a̠ ɾʲ i ɡ a̠ t o̞
ありうる	a̠ ɾʲ i ɯ̟ᵝ ɾ ɯ̟ᵝ
あんまり	ã̠ mː a̠ ɾʲ i
あんまん	ã̠ mː ã̠ ɴ
あんもん	ã̠ mː õ̞ ɴ
あんざん	ã̠ n d͡z ã̠ ɴ
あんぜん	ã̠ n d͡z ẽ̞ ɴ
あんてん	ã̠ n t ẽ̞ ɴ
あんらく	ã̠ n ɾ a̠ k ɯ̟ᵝ
あんなん	ã̠ nː ã̠ ɴ
あんのん	ã̠ nː õ̞ ɴ
あんかん	ã̠ ŋ k ã̠ ɴ
あんこく	ã̠ ŋ k o̞ k ɯ̟ᵝ
あんこう	ã̠ ŋ k o̞ː
あんごう	ã̠ ŋ ɡ o̞ː
あんさつ	ã̠ ɰ̃ s a̠ t͡s ɨᵝ
あんせい	ã̠ ɰ̃ s e̞ː
あんしつ	ã̠ ɰ̃ ɕ i̥ t͡s ɨᵝ
あんしん	ã̠ ɰ̃ ɕ ĩ ɴ
あんしょ	ã̠ ɰ̃ ɕ o̞
あんうつ	ã̠ ɰ̃ ɯ̟ᵝ t͡s ɨᵝ
ばいしん	b a i ɕ i n
ばばぬき	b a̠ b a̠ n ɯ̟ᵝ kʲ i
ばいばい	b a̠ i b a̠ i
ばいどく	b a̠ i d o̞ k ɯ̟ᵝ
ばいかい	b a̠ i k a̠ i
ばいこく	b a̠ i k o̞ k ɯ̟ᵝ
ばいきん	b a̠ i kʲ ĩ ɴ
ばいめい	b a̠ i m e̞ː
ばいたい	b a̠ i t a̠ i
ばいたん	b a̠ i t ã̠ ɴ
ばいごま	b a̠ i ɡ o̞ m a̠
ばかげる	b a̠ k a̠ ɡ e̞ ɾ ɯ̟ᵝ
ばけもの	b a̠ k e̞ m o̞ n o̞
ばけねこ	b a̠ k e̞ n e̞ k o̞
ばけがく	b a̠ k e̞ ɡ a̠ k ɯ̟ᵝ
ばくだい	b a̠ k ɯ̟ᵝ d a̠ i
ばくだん	b a̠ k ɯ̟ᵝ d ã̠ ɴ
ばくえき	b a̠ k ɯ̟ᵝ e̞ kʲ i
ばくはく	b a̠ k ɯ̟ᵝ h a̠ k ɯ̟ᵝ
ばくまつ	b a̠ k ɯ̟ᵝ m a̠ t͡s ɨᵝ
ばくすい	b a̠ k ɯ̟ᵝ s ɨᵝ i
ばくたん	b a̠ k ɯ̟ᵝ t ã̠ ɴ
ばくちく	b a̠ k ɯ̟ᵝ t͡ɕ i̥ k ɯ̟ᵝ
ばくぜん	b a̠ k ɯ̟ᵝ z ẽ̞ ɴ
ばくげき	b a̠ k ɯ̟ᵝ ɡ e̞ kʲ i
ばくはつ	b a̠ k ɯ̟̊ᵝ h a̠ t͡s ɨᵝ
ばくそう	b a̠ k ɯ̟̊ᵝ s o̞ː
ばくしん	b a̠ k ɯ̟̊ᵝ ɕ ĩ ɴ
ばくふう	b a̠ k ɯ̟̊ᵝ ɸ ɯ̟ᵝː
ばっきん	b a̠ k̚ʲ kʲ ĩ ɴ
ばっさい	b a̠ sː a̠ i
ばっすい	b a̠ sː ɯ̟ᵝ i
ばっする	b a̠ sː ɯ̟ᵝ ɾ ɯ̟ᵝ
ばったり	b a̠ t̚ t a̠ ɾʲ i
ばってき	b a̠ t̚ t e̞ kʲ i
ばっちい	b a̠ t̚ t͡ɕ iː
ばつぐん	b a̠ t͡s ɨᵝ ɡ ɯ̟̃ᵝ ɴ
ばちおと	b a̠ t͡ɕ i o̞ t o̞
ばちがい	b a̠ t͡ɕ i ɡ a̠ i
ばらえん	b a̠ ɾ a̠ ẽ̞ ɴ
ばらはた	b a̠ ɾ a̠ h a̠ t a̠
ばらにく	b a̠ ɾ a̠ ɲ̟ i k ɯ̟ᵝ
ばしょう	b a̠ ɕ o̞ː
ばじゅつ	b a̠ ʑ ɨᵝ t͡s ɨᵝ
ばにゅう	b a̠ ɲ̟ ɯ̟ᵝː
ばんぶつ	b ã̠ m b ɯ̟ᵝ t͡s ɨᵝ
ばんざい	b ã̠ n d͡z a̠ i
ばんぜい	b ã̠ n d͡z e̞ː
ばんづけ	b ã̠ n d͡z ɨᵝ k e̞
ばんかい	b ã̠ ŋ k a̠ i
ばんこく	b ã̠ ŋ k o̞ k ɯ̟ᵝ
ばんごう	b ã̠ ŋ ɡ o̞ː
ばんせん	b ã̠ ɰ̃ s ẽ̞ ɴ
ばんしょ	b ã̠ ɰ̃ ɕ o̞
べっぷく	b e̞ p̚ p ɯ̟ᵝ k ɯ̟ᵝ
べっちん	b e̞ t̚ t͡ɕ ĩ ɴ
べつばら	b e̞ t͡s ɨᵝ b a̠ ɾ a̠
べつだん	b e̞ t͡s ɨᵝ d ã̠ ɴ
べつくち	b e̞ t͡s ɨᵝ k ɯ̟ᵝ t͡ɕ i
べつめい	b e̞ t͡s ɨᵝ m e̞ː
べつじん	b e̞ t͡s ɨᵝ ʑ ĩ ɴ
べつうり	b e̞ t͡s ɨᵝ ɯ̟ᵝ ɾʲ i
べらべら	b e̞ ɾ a̠ b e̞ ɾ a̠
べにばな	b e̞ ɲ̟ i b a̠ n a̠
べにいろ	b e̞ ɲ̟ i i ɾ o̞
べいこく	b e̞ː k o̞ k ɯ̟ᵝ
べんとう	b ẽ̞ n t o̞ː
べんらん	b ẽ̞ n ɾ ã̠ ɴ
べいごま	b e̞ː ɡ o̞ m a̠
べんがら	b ẽ̞ ŋ ɡ a̠ ɾ a̠
